restaurant_id,restaurant_type,restaurant_name,restaurant_address,coordinates_lat,coordinates_long,restaurant_rating,restaurant_reviews,restaurant_zip
lgHmMRBaU-48kGaNz3jYxg,Chinese,Chairman Sun 国色天湘,'47-30 Vernon Blvd',40.74465,-73.95375,4.0,65,11101
xq0cX_DgxiJMXwhmEl9kUA,Chinese,Café China,'13 E 37th St',40.7499225208569,-73.9819464127197,4.0,1545,10016
ojbH3wnRu050hRhkmoxRiA,Chinese,Han Dynasty,'215 W 85th St',40.78752,-73.97647,4.0,564,10024
qrncvjkiKN5Z-JC06ygy6A,Chinese,Hutong,'731 Lexington Ave',40.761551,-73.967443,4.0,115,10022
Y92VtOkTZ6BirkJbUKCMOw,Chinese,Rong Cheng House,'242 W 56th St',40.76572,-73.98286,4.0,26,10019
FXhSEZfIqjMZh4hR0_8jMQ,Chinese,China Xiang 中国湘,'360 W 42nd Street',40.7582902125633,-73.9925113993899,4.0,425,10036
6tASYtO9zOrXr8-LPnAToQ,Chinese,Zest Szechuan,'45 W 39th St',40.75274,-73.98445,4.0,546,10018
oowNI_aUmGEFa_VW8BFgRg,Chinese,Tri Dim Shanghai,'1378 3rd Ave',40.77395,-73.95793,4.0,332,10075
0dDCDQz7DrKkSvu9h2hcQw,Chinese,Chow House,'181 Bleecker St',40.72915,-74.00072,4.5,317,10012
sfsjk1h50ooC2ioY7m48gw,Chinese,Pig Heaven,'1420 3rd Ave',40.77544,-73.95686,4.0,312,10028
wfhMIiMh2A2psCGONOVSlg,Chinese,Han Dynasty,'90 3rd Ave',40.732072,-73.988074,4.0,1183,10003
bVkjBJlAIwKAj9Aw1KVWjA,Chinese,Dim Sum Palace,'334 W 46th St',40.76015,-73.9893699,4.0,1113,10036
LT0yyLNM84EiJj9DL0rfHA,Chinese,Hui Restaurant & Bar,'314 E 70th St',40.76701,-73.95846,4.5,113,10021
CgsvKB65PZrZV8AhnD-wnw,Chinese,King Jade Garden,'141 E 55th St',40.75947,-73.96942,4.5,19,10022
pCfGgX0WxGASGM4-Yhr2Pw,Chinese,Hao Noodle Chelsea,'343 W 14th St',40.7406999,-74.00436,4.5,286,10014
v0opDMezc6pKgdfR22KUnQ,Chinese,Da Tang Szechuan,'18 W 38th St',40.75128,-73.98376,4.5,168,10018
0k678lCWQyReNi0lARlOmw,Chinese,China Blue,'135 Watts St',40.724038,-74.009958,4.0,663,10013
HScFap2SwbUlfC-QXVkxFA,Chinese,Xi'an Famous Foods,'24 W 45th St',40.75606,-73.9808,4.0,1599,10036
WVsPyl-DGRu0O_rQYdIMVQ,Chinese,The Best Sichuan,'47 W 39th St',40.75266,-73.98459,4.0,20,10018
EmJ7rfmv2y6lQZxgA8U__g,Chinese,Red Peony Chinese Cuisine,'24 W 56th St',40.76278,-73.97589,4.5,27,10019
xCHApgtkLpEyh0lz-uhZvg,Chinese,Szechuan Garden,'239 W 105th St',40.8003719688892,-73.9676491308602,4.0,270,10025
VbFYau70iG_s6UNFwYtGVQ,Chinese,Xu's Public House,'15 Union Square W',40.73589,-73.9917,4.5,38,10003
QaolMEijS7L6eodSneOdng,Chinese,Tridim West,'467 Columbus Ave',40.78412,-73.97368,4.5,33,10024
TzhAlljC_843JO7UDDUIaQ,Chinese,The Tang - Upper West Side,'920 Amsterdam Ave',40.80006,-73.96639,4.5,121,10025
5YBYGnZtTGJABXC4Jahhzg,Chinese,Jasmine Restaurant,'216 E 49th St',40.75467,-73.97057,4.0,235,10017
gJXNSJ9VXTuCFmp_Kl9TVQ,Chinese,Shanghai,'1388 2nd Ave',40.768291,-73.958381,4.0,89,10021
i6RhqnCJ_oUfTu5LikGXUg,Chinese,Dun Huang - East Village,'300 E 12th St',40.73081,-73.98568,4.5,247,10003
mUl0wtO7tPkBocuJqZ-7Dw,Chinese,Dun Huang -  Grand Central,'320 Lexington Ave',40.74922,-73.97785,4.5,139,10016
X8ZS-dgiMIJvhwf9SaDnjw,Chinese,Wah Fung No 1 Fast Food,'79 Chrystie St',40.71735,-73.99457,4.5,1321,10002
scTDvJ2M2jDbb1ntVeIyxA,Chinese,Hao Noodle and Tea By Madam Zhu's Kitchen,'401 6th Ave',40.7334863190479,-73.9998929006093,4.0,655,10014
lQ8Fzgji9qmgRXkFcvAsVQ,Chinese,Chong Qing Xiao Mian,'796 9th Ave',40.76513,-73.98753,4.0,292,10019
BPErPpKSNluwcjbKRgze3w,Chinese,Xi'an Famous Foods,'328 E 78th St',40.77197,-73.95452,4.0,486,10075
3oB2_2vpeIyxJt1GvlcZBA,Chinese,Baodega,'7 W 20th St',40.74014,-73.99178,4.0,59,10011
s5JNxy0eAFgxS2Poi73ODw,Chinese,Málà Project,'41 W 46th St',40.75693,-73.98056,4.0,253,10036
0vg2Z-HPwkyVVX613j2ysg,Chinese,Peng's Noodle Folk,'1659 1st Ave',40.77726,-73.94932,4.5,407,10028
Ej-hrhc8HFWfijN4X5akOg,Chinese,Dim Sum Palace,'33 W 33rd St',40.7486,-73.98676,4.5,16,10001
lynQoI3w_pzYfHGeuUU-Qg,Chinese,Shu Jiao Fu Zhou Cuisine Restaurant,'118 Eldridge St',40.7184290357839,-73.9916928979573,4.5,765,10002
w3wKbjuNCZnYoPOr-FCk5w,Chinese,New Moon,'536 3rd Ave',40.74692,-73.97766,4.0,99,10016
dDXtga5Kgo5B1twdezcZJA,Chinese,Auntie Guan's Kitchen 108,'108 W 14th St',40.7377213477598,-73.9974148512518,3.5,329,10011
croh2zWlbPyCQTNS11klcg,Chinese,China River 川聚院,'258 W 44th St',40.7581711239604,-73.9883149042726,4.0,154,10036
0CjK3esfpFcxIopebzjFxA,Chinese,Joe's Shanghai,'9 Pell St',40.7146691442891,-73.9977602206654,4.0,5935,10013
SVJNB9LqI13jtVyKMZVqeg,Chinese,Uncle Ted's Modern Chinese Cuisine,'163 Bleecker St',40.72882,-73.999961,3.5,449,10012
Jy7htqnnxlKB2vZO42_-aw,Chinese,Ding Asian Szechuan Hot Pot Restaurant,'234 W 48th St',40.76064,-73.98635,3.5,174,10036
wDuf4Qz9qsC62amLZgWNJQ,Chinese,Little Alley,'550 3rd Ave',40.74744,-73.97728,4.0,327,10016
YdAtCf_13UK-uvXuOMrhNg,Chinese,Radiance,'208 E 50th St',40.7555779423723,-73.9703503944427,4.0,165,10022
qGgQMVExGERqGhZNDM2ROg,Chinese,Wu Liang Ye,'36 W 48th St',40.75781,-73.97994,3.5,496,10036
u5-S5ElOzXnavuZ2gFsCpg,Chinese,Manting,'150 W 49th St',40.7601476826859,-73.9829980954528,3.5,221,10019
-lgNzAEyFr8LCTuBTWnAMg,Chinese,Dim Sum Palace,'47 W 55th St',40.76259,-73.97681,4.0,239,10019
eVDV1ALwvre01Xo8v6BCoQ,Chinese,La Salle Dumpling Room,'35 W End Ave',40.7731596,-73.98951,4.0,168,10023
tsHdT1GDibhYYA0JA7Z9tg,Chinese,Xi'an Famous Foods,'37 W 54th St',40.7620999,-73.97732,4.0,443,10019
HoU-pi4U4EK-AwkTxNCAEg,Chinese,Lisa's Dumplings,'57th St & 8th Ave',40.7689469190942,-73.9824067136363,4.0,11,10019
qHi_FA4zSEkFshXQ4Chc9A,Chinese,Jiang Diner,'309 E 5th St',40.72665,-73.98838,4.0,77,10003
jc7lVTvmYMIK5RNpENtS6w,Chinese,Szechuan Mountain House,'23 St Marks Pl',40.72911,-73.98858,4.0,284,10003
2UxAkvKkkWNwqZi9H0OzWw,Chinese,Dian Kitchen,'435 E 9th St',40.72772,-73.98321,5.0,177,10009
7ZQSMqWzvXMSetXnii2fBg,Chinese,Excellent Dumpling House,'165 W 23rd St',40.7440494396358,-73.995028194335,4.0,552,10011
sR-KTsDa4vafaDak9Ik2sQ,Chinese,Hunan House,'40 W 56th St',40.76292,-73.97653,3.5,254,10019
ZCAkVl5SeCDeBWg_xjfYeg,Chinese,Clay Pot - East Village,'58 St Mark's Pl',40.7279880270274,-73.9865907985248,4.5,284,10003
wurhcLKXD4YJ5XfTxpbE5Q,Chinese,Grand Sichuan,'229 9th Ave',40.747413,-74.001052,3.5,441,10001
Kqb7MjTPNkjPMoFRd-rWpw,Chinese,MáLà Project,'122 1st Ave',40.72713,-73.98542,4.0,582,10009
pBNMZp_tKCAfRNx7-ybcHQ,Chinese,Calle Dao - Chelsea,'461 W 23rd St',40.7476515,-74.0037312,4.5,497,10011
D13m2P0qKQUWNqIW-lpHZg,Chinese,Yaso Tangbao,'220 E 42nd St',40.74998,-73.973,4.0,236,10017
MXstrG3HjF83LcxAd8OpTw,Chinese,New Li Yuan,'273 W 38th St',40.754589387013,-73.9912518276348,4.0,65,10018
A-ert0jDRBfku9ogyW_mEg,Chinese,Spice Symphony,'150 E 50th St',40.7558937072754,-73.9715347290039,4.5,419,10022
jwKPVep2qZYBUA6SLLQPvg,Chinese,Legend 72,'127 W 72nd St',40.77796,-73.9796901,3.5,218,10023
neQM053ovAOrf1sVSAPI9w,Chinese,Radiance Tea House and Books,'158 W 55th St',40.7639799,-73.98065,4.0,835,10019
Bwj7nzWphGV6FaZ_ygTSOg,Chinese,Happy Hot Hunan,'969 Amsterdam Ave',40.80133,-73.96466,3.5,145,10025
qH8PVeddtVs9cKN2pwgdkQ,Chinese,Hwa Yuan,'42 E Broadway',40.7137,-73.99598,4.0,212,10002
YY-qRDgWpHM4Rf7PZ2zwmw,Chinese,Little Tong Noodle Shop,'235 E 53rd St',40.75721,-73.96799,4.0,75,10022
kwqOmEwWJ0D9PyCdFGE3-g,Chinese,Xian Famous Foods,'14 E 34th St',40.747844,-73.983901,4.0,704,10016
g512kssHLLTdDbUJHTmJFw,Chinese,Stick To My Pot Potsticker,'224 W 35th St',40.75202,-73.99121,4.5,78,10001
GGRMY-twaqZf_NIAprBJkg,Chinese,Junzi Kitchen,'135 W 41st St',40.754886,-73.985688,4.5,72,10036
Dqu-5RxNbbpBsL1Ssht9Ng,Chinese,Hunan Slurp,'112 1st Ave',40.72669,-73.98563,4.0,187,10009
WRPJeH3goSpj5ke3Pkrnfw,Chinese,Burp Bowl Cafe,'134 E 27th St',40.74183,-73.98271,4.5,203,10010
1dFOF1HPaThSCsdiqR7DrA,Chinese,Land of Plenty,'204E 58th St',40.76063,-73.96664,3.5,299,10022
6dVXDdgzDEVt4DvHzpWo9w,Chinese,Tang Pavilion,'65 W 55th St',40.762849,-73.977189,3.5,298,10019
EN9_LsFpY44Hkzcnu0jfIg,Chinese,Dynasty Dim Sum,'381 3rd Ave',40.74148,-73.98087,4.0,123,10016
4FD0TAxe70nb3ngk3sXF9Q,Chinese,Uluh,'152 2nd Ave',40.7293403,-73.9866071,4.0,157,10003
kxv4jD_qXRPVrV0oPR7isQ,Chinese,Yu Kitchen,'2656 Broadway',40.79759,-73.9693099,4.5,82,10025
f7-xxpi8s8Qr3ByASArQtQ,Chinese,China Inn,'68 Portland Rd',50.8326017,-0.1810999,5.0,1,BN3 5DL
MdDj13LgIs0WdbIdiyqB7Q,Chinese,Pinch Chinese,'177 Prince St',40.72645,-74.0018,4.0,312,10012
I_Va7AZSHpEwX75S-3hHLQ,Chinese,Noodle Fun,'1744 1st Ave',40.7795333862305,-73.9470367431641,4.0,141,10128
MaZWYgvu08NLQVRcDGGvqQ,Chinese,Zhen Wei Fang,'207 Bowery',40.72128,-73.99343,4.0,152,10002
IqbHVeqgewmbeSMXBhbqSw,Chinese,Hunan Manor,'339 Lexington Ave',40.74965,-73.97707,3.5,294,10016
oe8GEFE4QLFAKt87y7zcgA,Chinese,Very Fresh Noodles,'425 W 15th St',40.7423387008486,-74.00625,4.5,868,10011
Qgv2vyUV-DwK8YwrhU-jtw,Chinese,Lan Sheng Restaurant,'128 W 36th St',40.7517141867087,-73.9883603449123,3.5,118,10018
VW2Epq3C8jqysu6Edpu-RA,Chinese,Atlas Kitchen,'258 W 109th St',40.80332,-73.9668,4.0,85,10025
l44CFBTejwL0ElKmkH7xQQ,Chinese,Decoy,'529 Hudson St',40.734196,-74.006519,4.0,408,10014
hBbAmEYXM4L03AU9Vt_p9g,Chinese,Hong Kong Station,'157 W 47th St',40.75894,-73.98372,3.5,114,10036
